         320
   173    yb yb173   103
   174    yb yb174   104
   175    lu lu175   104
   176    lu lu176   105
   177    lu lu177   106
   176    hf hf176   104
   177    hf hf177   105
   178    hf hf178   106
   179    hf hf179   107
   180    hf hf180   108
   181    ta ta181   108
   182    ta ta182   109
   183    ta ta183   110
   182     w  w182   108
   183     w  w183   109
   184     w  w184   110
   185     w  w185   111
   186     w  w186   112
   185    re re185   110
   186    re re186   111
   187    re re187   112
   186    os os186   110
   187    os os187   111
   188    os os188   112
   189    os os189   113
   190    os os190   114
   191    os os191   115
   192    os os192   116
   191    ir ir191   114
   192    ir ir192   115
   193    ir ir193   116
   192    pt pt192   114
   193    pt pt193   115
   194    pt pt194   116
   195    pt pt195   117
   196    pt pt196   118
   197    au au197   118
   198    hg hg198   118
   199    hg hg199   119
   200    hg hg200   120
   201    hg hg201   121
   202    hg hg202   122
   203    tl tl203   122
   204    tl tl204   123
   205    tl tl205   124
   204    pb pb204   122
   205    pb pb205   123
   206    pb pb206   124
   207    pb pb207   125
   208    pb pb208   126
   209    bi bi209   126
   210    bi bi210   127
   210    po po210   126
